item_code,source_file,date,doc_no,rec_qty,iss_qty,balance,pdf_safety_stock,pdf_maximum_stock
SP-FA006,SP-FA006.pdf,08/02/2024,ISS-67020133,,2.0,2.0,2.0,4.0
SP-FA006,SP-FA006.pdf,20/02/2024,ISS-67020163,,1.0,1.0,2.0,4.0
SP-FA006,SP-FA006.pdf,14/06/2024,REC-24060083,4.0,,5.0,2.0,4.0
SP-FA006,SP-FA006.pdf,15/06/2024,ISS-67060618,,1.0,4.0,2.0,4.0
SP-FA006,SP-FA006.pdf,15/06/2024,ISS-67060619,,1.0,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,28/06/2024,ISS-67060682,,1.0,2.0,2.0,4.0
SP-FA006,SP-FA006.pdf,22/08/2024,ISS-67121439,,1.0,1.0,2.0,4.0
SP-FA006,SP-FA006.pdf,29/10/2024,ISS-67101245,,1.0,0.0,2.0,4.0
SP-FA006,SP-FA006.pdf,28/12/2024,REC-24120228,3.0,,3.0,2.0,4.0
SP-FA006,SP-FA006.pdf,14/01/2025,ISS-68010048,,1.0,2.0,2.0,4.0
SP-FA006,SP-FA006.pdf,26/02/2025,ISS-68020223,,1.0,1.0,2.0,4.0
SP-FA006,SP-FA006.pdf,18/12/2025,ISS-68121468,,1.0,0.0,2.0,4.0
SP-FA006,SP-FA006.pdf,14/01/2026,REC-26010008,2.0,,2.0,2.0,4.0
SP-FA006,SP-FA006.pdf,17/03/2026,ISS-69030277,,1.0,1.0,2.0,4.0
SP-FA006,SP-FA006.pdf,27/03/2026,REC-26030062,2.0,,3.0,2.0,4.0
SP-FA007,SP-FA007.pdf,18/05/2020,REC-20050001,1.0,,1.0,2.0,4.0
SP-FA007,SP-FA007.pdf,06/10/2020,REC-20100112,1.0,,2.0,2.0,4.0
SP-FA008,SP-FA008.pdf,18/05/2020,REC-20050001,2.0,,2.0,,
SP-FA009,SP-FA009.pdf,18/05/2020,REC-20050001,1.0,,1.0,,
SP-FA010,SP-FA010.pdf,18/05/2020,REC-20050001,3.0,,3.0,2.0,4.0
SP-FA010,SP-FA010.pdf,18/06/2020,ISS-63060092,,1.0,2.0,2.0,4.0
SP-FA010,SP-FA010.pdf,26/11/2020,ISS-63110653,,1.0,1.0,2.0,4.0
SP-FA010,SP-FA010.pdf,20/12/2021,REC-21120210,1.0,,2.0,2.0,4.0
SP-FA010,SP-FA010.pdf,28/01/2022,ISS-65010100,,1.0,1.0,2.0,4.0
SP-FA010,SP-FA010.pdf,24/05/2022,ISS-65050493,,1.0,0.0,2.0,4.0
SP-FA010,SP-FA010.pdf,21/06/2022,REC-22060077,4.0,,4.0,2.0,4.0
SP-FA010,SP-FA010.pdf,29/08/2023,ISS-66080892,,1.0,3.0,2.0,4.0
SP-FA010,SP-FA010.pdf,04/09/2023,ISS-66090917,,3.0,0.0,2.0,4.0
SP-FA010,SP-FA010.pdf,06/11/2023,REC-23110168,3.0,,3.0,2.0,4.0
SP-FA010,SP-FA010.pdf,21/11/2023,ISS-66111235,,2.0,1.0,2.0,4.0
SP-FA011,SP-FA011.pdf,26/08/2020,REC-20080096,2.0,,2.0,2.0,4.0
SP-FA011,SP-FA011.pdf,26/08/2020,ISS-63080332,,1.0,1.0,2.0,4.0
SP-FA011,SP-FA011.pdf,19/10/2020,REC-20100127,2.0,,3.0,2.0,4.0
SP-FA011,SP-FA011.pdf,27/01/2021,ISS-64010115,,1.0,2.0,2.0,4.0
SP-FA011,SP-FA011.pdf,22/04/2021,ISS-64040401,,1.0,1.0,2.0,4.0
SP-FA011,SP-FA011.pdf,08/06/2021,ISS-64060583,,1.0,0.0,2.0,4.0
SP-FA011,SP-FA011.pdf,09/07/2021,REC-21070141,3.0,,3.0,2.0,4.0
SP-FA011,SP-FA011.pdf,27/10/2021,ISS-64101036,,1.0,2.0,2.0,4.0
SP-FA011,SP-FA011.pdf,29/11/2021,ISS-64111149,,1.0,1.0,2.0,4.0
SP-FA011,SP-FA011.pdf,06/01/2022,ISS-65010020,,1.0,0.0,2.0,4.0
SP-FA011,SP-FA011.pdf,19/02/2022,REC-22020022,2.0,,2.0,2.0,4.0
SP-FA011,SP-FA011.pdf,23/03/2022,ISS-65030273,,1.0,1.0,2.0,4.0
SP-FA011,SP-FA011.pdf,01/04/2022,ISS-65040310,,1.0,0.0,2.0,4.0
SP-FA011,SP-FA011.pdf,28/04/2022,REC-22040043,2.0,,2.0,2.0,4.0
SP-FA011,SP-FA011.pdf,03/06/2022,ISS-65060537,,1.0,1.0,2.0,4.0
SP-FA011,SP-FA011.pdf,23/06/2022,ISS-65060622,,1.0,0.0,2.0,4.0
SP-FA011,SP-FA011.pdf,22/07/2022,REC-22070097,2.0,,2.0,2.0,4.0
SP-FA011,SP-FA011.pdf,18/01/2023,ISS-66010069,,1.0,1.0,2.0,4.0
SP-FA011,SP-FA011.pdf,02/03/2023,ISS-66030285,,1.0,0.0,2.0,4.0
SP-FA011,SP-FA011.pdf,16/06/2023,REC-23060083,2.0,,2.0,2.0,4.0
SP-FA011,SP-FA011.pdf,30/10/2023,ISS-66101152,,1.0,1.0,2.0,4.0
SP-FA011,SP-FA011.pdf,02/04/2024,ISS-67040338,,1.0,0.0,2.0,4.0
SP-FA011,SP-FA011.pdf,09/10/2024,REC-24100165,3.0,,3.0,2.0,4.0
SP-FA011,SP-FA011.pdf,10/10/2024,ISS-67101157,,1.0,2.0,2.0,4.0
SP-FA011,SP-FA011.pdf,11/03/2025,ISS-68030267,,1.0,1.0,2.0,4.0
SP-FA012,SP-FA012.pdf,18/05/2020,REC-20050001,3.0,,3.0,,
SP-FA012,SP-FA012.pdf,09/08/2021,REC-21080152,28.0,,31.0,,
SP-FA012,SP-FA012.pdf,09/09/2021,ISS-64090844,,28.0,3.0,,
SP-FA014,SP-FA014.pdf,10/11/2025,REC-25110203,2.0,,2.0,,
SP-FA015,SP-FA015.pdf,10/11/2025,REC-25110203,2.0,,2.0,2.0,4.0
SP-FA016,SP-FA016.pdf,06/10/2020,REC-20100112,1.0,,1.0,1.0,4.0
SP-FA016,SP-FA016.pdf,04/03/2021,ISS-64030238,,1.0,0.0,1.0,4.0
SP-FA016,SP-FA016.pdf,08/05/2021,REC-21050106,1.0,,1.0,1.0,4.0
SP-FA016,SP-FA016.pdf,17/05/2023,ISS-66050521,,1.0,0.0,1.0,4.0
SP-FA016,SP-FA016.pdf,05/06/2023,REC-23060076,1.0,,1.0,1.0,4.0
SP-FA016,SP-FA016.pdf,16/06/2023,ISS-66060626,,1.0,0.0,1.0,4.0
SP-FA016,SP-FA016.pdf,31/07/2023,REC-23080109,1.0,,1.0,1.0,4.0
SP-FA016,SP-FA016.pdf,31/10/2023,REC-23110160,1.0,,2.0,1.0,4.0
SP-FA016,SP-FA016.pdf,10/11/2023,ISS-66111204,,1.0,1.0,1.0,4.0
SP-FA016,SP-FA016.pdf,14/12/2023,ISS-67020153,,1.0,0.0,1.0,4.0
SP-FA016,SP-FA016.pdf,08/03/2024,REC-24030034,1.0,,1.0,1.0,4.0
SP-FA016,SP-FA016.pdf,22/07/2024,ISS-67070794,,1.0,0.0,1.0,4.0
SP-FA016,SP-FA016.pdf,04/09/2024,REC-24090139,2.0,,2.0,1.0,4.0
SP-FA016,SP-FA016.pdf,05/06/2025,ISS-68060671,,1.0,1.0,1.0,4.0
SP-FA016,SP-FA016.pdf,03/02/2026,ISS-69020126,,1.0,0.0,1.0,4.0
SP-FA016,SP-FA016.pdf,03/02/2026,ISS-69020175,,1.0,-1.0,1.0,4.0
SP-FA016,SP-FA016.pdf,26/02/2026,REC-26020035,2.0,,1.0,1.0,4.0
SP-FA016,SP-FA016.pdf,27/06/2026,ISS-69060641,,1.0,0.0,1.0,4.0
SP-FA017,SP-FA017.pdf,18/05/2020,REC-20050001,1.0,,1.0,,
SP-FA019,SP-FA019.pdf,18/05/2020,REC-20050001,3.0,,3.0,,
SP-FA020,SP-FA020.pdf,18/05/2020,REC-20050001,1.0,,1.0,1.0,2.0
SP-FA020,SP-FA020.pdf,13/11/2021,ISS-64111106,,1.0,0.0,1.0,2.0
SP-FA020,SP-FA020.pdf,20/12/2021,REC-21120210,1.0,,1.0,1.0,2.0
SP-FA020,SP-FA020.pdf,31/03/2022,ISS-65040308,,1.0,0.0,1.0,2.0
SP-FA020,SP-FA020.pdf,12/04/2022,REC-22040038,2.0,,2.0,1.0,2.0
SP-FA020,SP-FA020.pdf,16/05/2022,ISS-65050462,,1.0,1.0,1.0,2.0
SP-FA020,SP-FA020.pdf,07/11/2022,REC-22110147,2.0,,3.0,1.0,2.0
SP-FA020,SP-FA020.pdf,09/11/2022,ISS-65111157,,2.0,1.0,1.0,2.0
SP-FA020,SP-FA020.pdf,07/04/2023,ISS-66040412,,1.0,0.0,1.0,2.0
SP-FA020,SP-FA020.pdf,04/10/2024,REC-24100161,2.0,,2.0,1.0,2.0
SP-FA020,SP-FA020.pdf,13/12/2024,ISS-67121448,,1.0,1.0,1.0,2.0
SP-FA020,SP-FA020.pdf,03/06/2025,ISS-68060665,,1.0,0.0,1.0,2.0
SP-FA020,SP-FA020.pdf,19/06/2025,REC-25060109,2.0,,2.0,1.0,2.0
SP-FA021,SP-FA021.pdf,18/05/2020,REC-20050014,4.0,,4.0,1.0,4.0
SP-FA021,SP-FA021.pdf,25/06/2020,ISS-63060112,,1.0,3.0,1.0,4.0
SP-FA021,SP-FA021.pdf,30/06/2020,ISS-63060133,,1.0,2.0,1.0,4.0
SP-FA021,SP-FA021.pdf,01/07/2020,ISS-63070135,,2.0,0.0,1.0,4.0
SP-FA021,SP-FA021.pdf,31/07/2020,REC-20080085,3.0,,3.0,1.0,4.0
SP-FA021,SP-FA021.pdf,03/08/2020,ISS-63080249,,1.0,2.0,1.0,4.0
SP-FA021,SP-FA021.pdf,25/08/2020,ISS-63080325,,1.0,1.0,1.0,4.0
SP-FA021,SP-FA021.pdf,28/10/2020,REC-20100131,3.0,,4.0,1.0,4.0
SP-FA021,SP-FA021.pdf,16/11/2020,ISS-63110603,,2.0,2.0,1.0,4.0
SP-FA021,SP-FA021.pdf,07/12/2020,ISS-63120675,,1.0,1.0,1.0,4.0
SP-FA021,SP-FA021.pdf,05/01/2021,ISS-64010121,,1.0,0.0,1.0,4.0
SP-FA021,SP-FA021.pdf,09/06/2021,REC-21060130,3.0,,3.0,1.0,4.0
SP-FA021,SP-FA021.pdf,26/06/2021,ISS-64060622,,1.0,2.0,1.0,4.0
SP-FA021,SP-FA021.pdf,14/07/2021,ISS-64070658,,2.0,0.0,1.0,4.0
SP-FA021,SP-FA021.pdf,29/07/2021,REC-21070150,2.0,,2.0,1.0,4.0
SP-FA021,SP-FA021.pdf,09/08/2021,ISS-64080742,,1.0,1.0,1.0,4.0
SP-FA021,SP-FA021.pdf,17/09/2021,ISS-64090886,,1.0,0.0,1.0,4.0
SP-FA021,SP-FA021.pdf,15/10/2021,REC-21100182,3.0,,3.0,1.0,4.0
SP-FA021,SP-FA021.pdf,27/10/2021,ISS-64101035,,2.0,1.0,1.0,4.0
SP-FA021,SP-FA021.pdf,09/12/2021,ISS-64121180,,1.0,0.0,1.0,4.0
SP-FA021,SP-FA021.pdf,07/01/2022,REC-22010004,3.0,,3.0,1.0,4.0
SP-FA021,SP-FA021.pdf,22/01/2022,ISS-65010086,,1.0,2.0,1.0,4.0
SP-FA021,SP-FA021.pdf,09/02/2022,ISS-65020131,,1.0,1.0,1.0,4.0
SP-FA021,SP-FA021.pdf,04/03/2022,REC-22030023,2.0,,3.0,1.0,4.0
SP-FA021,SP-FA021.pdf,07/03/2022,ISS-65030213,,1.0,2.0,1.0,4.0
SP-FA021,SP-FA021.pdf,08/03/2022,ISS-65030214,,1.0,1.0,1.0,4.0
SP-FA021,SP-FA021.pdf,06/04/2022,ISS-65040327,,1.0,0.0,1.0,4.0
SP-FA021,SP-FA021.pdf,12/04/2022,REC-22040038,3.0,,3.0,1.0,4.0
SP-FA021,SP-FA021.pdf,27/04/2022,ISS-65040387,,1.0,2.0,1.0,4.0
SP-FA021,SP-FA021.pdf,28/04/2022,REC-22040043,2.0,,4.0,1.0,4.0
SP-FA021,SP-FA021.pdf,01/08/2022,ISS-65080759,,1.0,3.0,1.0,4.0
SP-FA021,SP-FA021.pdf,02/09/2022,REC-22090119,1.0,,4.0,1.0,4.0
SP-FA021,SP-FA021.pdf,08/12/2022,ISS-65121286,,1.0,3.0,1.0,4.0
SP-FA021,SP-FA021.pdf,09/12/2022,ISS-65121290,,1.0,2.0,1.0,4.0
SP-FA021,SP-FA021.pdf,12/01/2023,REC-23010003,4.0,,6.0,1.0,4.0
SP-FA021,SP-FA021.pdf,13/01/2023,ISS-66010047,,1.0,5.0,1.0,4.0
SP-FA021,SP-FA021.pdf,13/01/2023,ISS-66010051,,1.0,4.0,1.0,4.0
SP-FA021,SP-FA021.pdf,02/02/2023,ISS-66020134,,2.0,2.0,1.0,4.0
SP-FA021,SP-FA021.pdf,23/05/2023,ISS-66050541,,1.0,1.0,1.0,4.0
SP-FA021,SP-FA021.pdf,16/06/2023,REC-23060083,2.0,,3.0,1.0,4.0
SP-FA021,SP-FA021.pdf,01/08/2023,ISS-66080780,,2.0,1.0,1.0,4.0
SP-FA021,SP-FA021.pdf,29/08/2023,ISS-66080888,,1.0,0.0,1.0,4.0
SP-FA021,SP-FA021.pdf,31/10/2023,REC-23110160,3.0,,3.0,1.0,4.0
SP-FA021,SP-FA021.pdf,25/12/2023,ISS-66121351,,3.0,0.0,1.0,4.0
SP-FA021,SP-FA021.pdf,08/03/2024,REC-24030034,2.0,,2.0,1.0,4.0
SP-FA021,SP-FA021.pdf,09/04/2024,ISS-67040374,,1.0,1.0,1.0,4.0
SP-FA021,SP-FA021.pdf,18/06/2024,ISS-67060627,,1.0,0.0,1.0,4.0
SP-FA021,SP-FA021.pdf,28/06/2024,REC-24060092,3.0,,3.0,1.0,4.0
SP-FA021,SP-FA021.pdf,06/09/2024,ISS-67090976,,1.0,2.0,1.0,4.0
SP-FA021,SP-FA021.pdf,08/11/2024,ISS-67111291,,1.0,1.0,1.0,4.0
SP-FA021,SP-FA021.pdf,14/02/2025,ISS-68020173,,1.0,0.0,1.0,4.0
SP-FA021,SP-FA021.pdf,14/05/2025,REC-25050077,3.0,,3.0,1.0,4.0
SP-FA021,SP-FA021.pdf,14/05/2025,ISS-68050543,,1.0,2.0,1.0,4.0
SP-FA021,SP-FA021.pdf,14/05/2025,ISS-68050544,,2.0,0.0,1.0,4.0
SP-FA021,SP-FA021.pdf,19/06/2025,REC-25060109,3.0,,3.0,1.0,4.0
SP-FA021,SP-FA021.pdf,20/06/2025,ISS-68091029,,1.0,2.0,1.0,4.0
SP-FA021,SP-FA021.pdf,16/07/2025,ISS-68091028,,1.0,1.0,1.0,4.0
SP-FA021,SP-FA021.pdf,21/07/2025,ISS-68070875,,1.0,0.0,1.0,4.0
SP-FA021,SP-FA021.pdf,10/10/2025,REC-25100182,4.0,,4.0,1.0,4.0
SP-FA021,SP-FA021.pdf,10/11/2025,ISS-68111300,,2.0,2.0,1.0,4.0
SP-FA021,SP-FA021.pdf,24/03/2026,ISS-69030312,,2.0,0.0,1.0,4.0
SP-FA021,SP-FA021.pdf,02/04/2026,REC-26040064,4.0,,4.0,1.0,4.0
SP-FA021,SP-FA021.pdf,02/06/2026,ISS-69060543,,2.0,2.0,1.0,4.0
SP-FA022,SP-FA022.pdf,18/05/2020,REC-20050015,3.0,,3.0,1.0,2.0
SP-FA022,SP-FA022.pdf,06/06/2020,ISS-63060063,,1.0,2.0,1.0,2.0
SP-FA022,SP-FA022.pdf,30/07/2020,ISS-63070236,,2.0,0.0,1.0,2.0
SP-FA022,SP-FA022.pdf,19/11/2020,REC-20110147,2.0,,2.0,1.0,2.0
SP-FA022,SP-FA022.pdf,22/12/2020,ISS-63120735,,1.0,1.0,1.0,2.0
SP-FA022,SP-FA022.pdf,24/05/2021,ISS-64050533,,1.0,0.0,1.0,2.0
SP-FA022,SP-FA022.pdf,09/07/2021,REC-21070141,3.0,,3.0,1.0,2.0
SP-FA022,SP-FA022.pdf,13/08/2021,ISS-64080749,,1.0,2.0,1.0,2.0
SP-FA022,SP-FA022.pdf,13/11/2021,ISS-64111105,,1.0,1.0,1.0,2.0
SP-FA024,SP-FA024.pdf,18/05/2020,REC-20050016,3.0,,3.0,1.0,3.0
SP-FA024,SP-FA024.pdf,26/05/2020,ISS-63050026,,1.0,2.0,1.0,3.0
SP-FA024,SP-FA024.pdf,11/07/2020,ISS-63070185,,1.0,1.0,1.0,3.0
SP-FA024,SP-FA024.pdf,02/05/2023,ISS-66050471,,1.0,0.0,1.0,3.0
SP-FA024,SP-FA024.pdf,10/01/2024,REC-24010007,1.0,,1.0,1.0,3.0
SP-FA024,SP-FA024.pdf,22/04/2024,ISS-67040405,,1.0,0.0,1.0,3.0
SP-FA024,SP-FA024.pdf,23/09/2024,REC-24090149,2.0,,2.0,1.0,3.0
SP-FA024,SP-FA024.pdf,24/09/2024,ISS-67091049,,1.0,1.0,1.0,3.0
SP-FA024,SP-FA024.pdf,22/11/2024,ISS-67111337,,1.0,0.0,1.0,3.0
SP-FA024,SP-FA024.pdf,16/12/2024,REC-24120221,2.0,,2.0,1.0,3.0
SP-FA024,SP-FA024.pdf,18/03/2025,ISS-68030295,,1.0,1.0,1.0,3.0
SP-FA024,SP-FA024.pdf,04/03/2026,ISS-69030222,,1.0,0.0,1.0,3.0
SP-FA024,SP-FA024.pdf,27/03/2026,REC-26030062,3.0,,3.0,1.0,3.0
SP-FA024,SP-FA024.pdf,27/03/2026,ISS-69030324,,1.0,2.0,1.0,3.0
